seq_len,hidden_size,num_layers,dropout,train_rmse,val_rmse,gap
50,128,1,0.2,13.108,11.088,-2.02
50,64,1,0.3,15.233,11.494,-3.739
50,64,1,0.2,12.972,11.76,-1.212
50,128,1,0.3,14.975,11.918,-3.057
50,64,2,0.3,15.206,12.188,-3.018
50,64,2,0.2,12.695,12.45,-0.245
50,128,2,0.3,12.876,12.88,0.004
50,128,2,0.2,10.735,13.156,2.421
30,64,1,0.2,14.96,13.488,-1.472
30,128,1,0.2,14.125,13.886,-0.239
30,64,1,0.3,16.798,13.895,-2.903
30,64,2,0.2,14.08,13.963,-0.117
30,128,1,0.3,16.253,14.069,-2.185
30,128,2,0.3,13.676,14.829,1.153
30,128,2,0.2,13.685,15.102,1.417
30,64,2,0.3,16.153,15.133,-1.02
20,64,1,0.2,14.971,15.565,0.594
20,128,1,0.3,17.674,15.689,-1.985
20,64,2,0.2,16.057,15.712,-0.345
20,128,1,0.2,16.084,15.879,-0.205
20,128,2,0.2,15.555,15.965,0.41
20,64,1,0.3,18.474,16.065,-2.409
20,128,2,0.3,15.509,16.272,0.763
20,64,2,0.3,17.411,17.144,-0.267
